amount,vpa_sender,vpa_receiver,timestamp,device_id,is_fraud
1017.085453,user4@axl,user1@axl,5/3/2025 14:51,device_66,0
5724.395529,user35@paytm,user9@paytm,5/1/2025 13:00,device_87,0
178754.1216,9417231445@paytm,user7344@paytm,5/11/2025 3:44,device_9417231445,1
11208.31846,user53@ybl,user1@ybl,5/1/2025 16:28,device_59,0
1539.108596,user26@okhdfcbank,user42@okhdfcbank,5/2/2025 14:36,device_16,0
10282.52262,user93@axl,user4@axl,5/1/2025 12:29,device_78,0
112396.8041,9451191606@axl,user2567@axl,5/4/2025 1:14,device_9451191606,1
13798.51565,user55@axl,user66@axl,5/4/2025 9:44,device_67,0
17787.44756,user5@axl,user99@axl,5/4/2025 17:22,device_50,0
198718.7832,9439639841@okhdfcbank,user5005@okhdfcbank,5/7/2025 0:07,device_9439639841,1
239984.9648,9464834128@sbi,user4671@sbi,5/13/2025 0:40,device_9464834128,1
14296.63705,user78@sbi,user9@sbi,5/6/2025 9:24,device_91,0
4269.635092,user92@paytm,user73@paytm,5/12/2025 14:28,device_10,0
9043.078848,user26@paytm,user99@paytm,5/1/2025 17:27,device_92,0
102903.482,9452256694@paytm,user6978@paytm,5/15/2025 4:56,device_9452256694,1
17287.95665,user22@axl,user67@axl,5/2/2025 10:26,device_50,0
175005.8372,9414394643@sbi,user1882@sbi,5/6/2025 1:55,device_9414394643,1
9772.965167,user33@ybl,user66@ybl,5/12/2025 15:58,device_79,0
14848.23791,user74@okhdfcbank,user74@okhdfcbank,5/1/2025 12:26,device_61,0
9704.838317,user3@ybl,user6@ybl,5/7/2025 14:02,device_40,0
13214.8809,user2@axl,user75@axl,5/4/2025 17:13,device_14,0
141184.8849,9462701776@ybl,user5923@ybl,5/12/2025 0:14,device_9462701776,1
2635.568824,user89@ybl,user89@ybl,5/7/2025 17:47,device_88,0
13493.17654,user80@paytm,user9@paytm,5/9/2025 15:59,device_6,0
1648.222255,user32@okhdfcbank,user66@okhdfcbank,5/15/2025 17:40,device_45,0
19649.47116,user6@axl,user66@axl,5/4/2025 13:54,device_69,0
185863.3331,9417059559@ybl,user7182@ybl,5/1/2025 1:43,device_9417059559,1
19670.34663,user70@sbi,user70@sbi,5/14/2025 12:27,device_41,0
7370.557396,user43@sbi,user8@sbi,5/3/2025 9:28,device_98,0
13416.18972,user74@ybl,user44@ybl,5/7/2025 9:43,device_51,0
170118.8667,9451672086@ybl,user5437@ybl,5/6/2025 5:34,device_9451672086,1
235065.9474,9486210813@paytm,user1142@paytm,5/2/2025 5:10,device_9486210813,1
7094.089669,user60@okhdfcbank,user96@okhdfcbank,5/9/2025 9:40,device_59,0
15599.3898,user68@sbi,user49@sbi,5/3/2025 11:27,device_7,0
19295.8778,user52@paytm,user44@paytm,5/2/2025 15:39,device_95,0
207233.6843,9445334528@axl,user9335@axl,5/10/2025 1:23,device_9445334528,1
276.288312,user71@paytm,user63@paytm,5/4/2025 13:40,device_69,0
74843.99335,9456462256@okhdfcbank,user7917@okhdfcbank,5/9/2025 2:05,device_9456462256,1
58079.93606,9491651806@paytm,user6229@paytm,5/3/2025 5:31,device_9491651806,1
8700.919397,user23@ybl,user8@ybl,5/6/2025 16:34,device_54,0
4565.1591,user35@ybl,user79@ybl,5/3/2025 15:47,device_39,0
129514.4042,9422984808@axl,user2802@axl,5/1/2025 1:39,device_9422984808,1
1288.249494,user55@sbi,user27@sbi,5/12/2025 13:27,device_97,0
73672.44557,9438077868@sbi,user4131@sbi,5/7/2025 1:40,device_9438077868,1
128.5627336,user97@sbi,user42@sbi,5/6/2025 11:06,device_38,0
